symbol,Scientific Name,Common Name,Duration,Growth_Habit
COAMR,Corispermum americanum var. rydbergii,American bugseed,Annual,Forb/herb
COHY,Corispermum hyssopifolium,bugseed,Annual,Forb/herb
CONA4,Corispermum navicula,crescent bugseed,Annual,Forb/herb
COVI5,Corispermum villosum,hairy bugseed,Annual,Forb/herb
COWE,Corispermum welshii,Welsh's bugseed,Annual,Forb/herb
COBI2,Cosmos bipinnatus,garden cosmos,Annual,Forb/herb
COPA12,Cosmos parviflorus,southwestern cosmos,Annual,Forb/herb
CRDR,Crassula drummondii,small-leaf pygmyweed,Annual,Forb/herb
CRTE4,Croton texensis,Texas croton,Annual,Forb/herb
CRTET,Croton texensis var. texensis,Texas croton,Annual,Forb/herb
CRAL2,Crypsis alopecuroides,foxtail pricklegrass,Annual,Graminoid
CRAM3,Cryptantha ambigua,basin cryptantha,Annual,Forb/herb
CRCI2,Cryptantha circumscissa,cushion cryptantha,Annual,Forb/herb
CRCIC2,Cryptantha circumscissa var. circumscissa,cushion cryptantha,Annual,Forb/herb
CRCR3,Cryptantha crassisepala,thicksepal cryptantha,Annual,Forb/herb
CRCRC,Cryptantha crassisepala var. crassisepala,thicksepal cryptantha,Annual,Forb/herb
CRCRE,Cryptantha crassisepala var. elachantha,thicksepal cryptantha,Annual,Forb/herb
CRFE3,Cryptantha fendleri,sanddune cryptantha,Annual,Forb/herb
CRGR3,Cryptantha gracilis,narrowstem cryptantha,Annual,Forb/herb
CRKE,Cryptantha kelseyana,Kelsey's cryptantha,Annual,Forb/herb
CRMI5,Cryptantha minima,little cryptantha,Annual,Forb/herb
CRPT,Cryptantha pterocarya,wingnut cryptantha,Annual,Forb/herb
CRPTC,Cryptantha pterocarya var. cycloptera,wingnut cryptantha,Annual,Forb/herb
CRPTP2,Cryptantha pterocarya var. pterocarya,wingnut cryptantha,Annual,Forb/herb
CRRE5,Cryptantha recurvata,curvenut cryptantha,Annual,Forb/herb
CRSC2,Cryptantha scoparia,Pinyon Desert cryptantha,Annual,Forb/herb
CRWA2,Cryptantha watsonii,Watson's cryptantha,Annual,Forb/herb
CUUM,Cuscuta umbellata,flatglobe dodder,Annual,"Vine, Forb/herb"
CYXA2,Cyclachaena xanthiifolia,Carelessweed,Annual,Forb/herb
CYNA5,Cyclanthera naudiniana,Naudin's cyclanthera,Annual,"Forb/herb, Vine"
CYAT,Cycloloma atriplicifolium,winged pigweed,Annual,Forb/herb
CYMU,Cymbalaria muralis,Kenilworth ivy,Annual,Forb/herb
CYBI6,Cyperus bipartitus,slender flatsedge,Annual,Graminoid
CYSQ,Cyperus squarrosus,bearded flatsedge,Annual,Graminoid
DAAE,Dactyloctenium aegyptium,Egyptian grass,Annual,Graminoid
DALE3,Dalea leporina,foxtail prairie clover,Annual,Forb/herb
DAST,Datura stramonium,jimsonweed,Annual,"Forb/herb, Subshrub"
DERA2,Descurainia ramosissima,Villa Grove tansymustard,Annual,Forb/herb
DICA4,Dicoria canescens,desert twinbugs,Annual,Forb/herb
DICAB,Dicoria canescens ssp. brandegeei,desert twinbugs,Annual,Forb/herb
DICAW,Dicoria canescens ssp. wetherillii,desert twinbugs,Annual,Forb/herb
DIIS,Digitaria ischaemum,smooth crabgrass,Annual,Graminoid
DISA,Digitaria sanguinalis,hairy crabgrass,Annual,Graminoid
DIWI2,Dimorphocarpa wislizeni,touristplant,Annual,Forb/herb
DRCU,Draba cuneifolia,wedgeleaf draba,Annual,Forb/herb
DRCUC,Draba cuneifolia var. cuneifolia,wedgeleaf draba,Annual,Forb/herb
DRNE,Draba nemorosa,woodland draba,Annual,Forb/herb
DRRE2,Draba reptans,Carolina draba,Annual,Forb/herb
DREF,Drymaria effusa,pinewoods drymary,Annual,Forb/herb
DREFD,Drymaria effusa var. depressa,pinewoods drymary,Annual,Forb/herb
DRLE3,Drymaria leptophylla,canyon drymary,Annual,Forb/herb
DYAM,Dysphania ambrosioides,Mexican tea,Annual,"Forb/herb, Subshrub"
DYBO,Dysphania botrys,Jerusalem oak goosefoot,Annual,Forb/herb
DYGR,Dysphania graveolens,fetid goosefoot,Annual,Forb/herb
DYPA,Dyssodia papposa,fetid marigold,Annual,Forb/herb
ECCR,Echinochloa crus-galli,barnyardgrass,Annual,Graminoid
ECCR2,Echinochloa crus-pavonis,gulf cockspur grass,Annual,Graminoid
ECCRM,Echinochloa crus-pavonis var. macera,gulf cockspur grass,Annual,Graminoid
ECFR,Echinochloa frumentacea,billion-dollar grass,Annual,Graminoid
ECMU2,Echinochloa muricata,rough barnyardgrass,Annual,Graminoid
ECMUM,Echinochloa muricata var. microstachya,rough barnyardgrass,Annual,Graminoid
ECLO,Echinocystis lobata,wild cucumber,Annual,"Vine, Forb/herb"
ELBR5,Elatine brachysperma,shortseed waterwort,Annual,Forb/herb
ELRU,Elatine rubella,southwestern waterwort,Annual,Forb/herb
ELAT,Eleocharis atropurpurea,purple spikerush,Annual,Graminoid
ELEN,Eleocharis engelmannii,Engelmann's spikerush,Annual,Graminoid
ELIN3,Eleusine indica,Indian goosegrass,Annual,Graminoid
ELNY,Ellisia nyctelea,Aunt Lucy,Annual,Forb/herb
ENDI,Endolepis dioica,Suckley's endolepis,Annual,Forb/herb
EPBR3,Epilobium brachycarpum,tall annual willowherb,Annual,Forb/herb
ERBA2,Eragrostis barrelieri,Mediterranean lovegrass,Annual,Graminoid
ERCI,Eragrostis cilianensis,stinkgrass,Annual,Graminoid
ERHY,Eragrostis hypnoides,teal lovegrass,Annual,Graminoid
ERLU2,Eragrostis lutescens,sixweeks lovegrass,Annual,Graminoid
ERME,Eragrostis mexicana,Mexican lovegrass,Annual,Graminoid
ERMEV,Eragrostis mexicana ssp. virescens,Mexican lovegrass,Annual,Graminoid
ERMI5,Eragrostis minor,little lovegrass,Annual,Graminoid
ERPEM,Eragrostis pectinacea var. miserrima,desert lovegrass,Annual,Graminoid
ERPEP2,Eragrostis pectinacea var. pectinacea,tufted lovegrass,Annual,Graminoid
ERPI2,Eragrostis pilosa,Indian lovegrass,Annual,Graminoid
ERTR13,Eremopyrum triticeum,annual wheatgrass,Annual,Graminoid
ERDI2,Eriastrum diffusum,miniature woollystar,Annual,Forb/herb
ERBE2,Erigeron bellidiastrum,western daisy fleabane,Annual,Forb/herb
ERBEB,Erigeron bellidiastrum var. bellidiastrum,western daisy fleabane,Annual,Forb/herb
ERBER,Erigeron bellidiastrum var. robustus,western daisy fleabane,Annual,Forb/herb
ERCO8,Eriochloa contracta,prairie cupgrass,Annual,Graminoid
ERVI3,Eriochloa villosa,hairy cupgrass,Annual,Graminoid
ERCE2,Eriogonum cernuum,nodding buckwheat,Annual,Forb/herb
ERCEC,Eriogonum cernuum var. cernuum,nodding buckwheat,Annual,Forb/herb
ERDI5,Eriogonum divaricatum,divergent buckwheat,Annual,Forb/herb
ERGO,Eriogonum gordonii,Gordon's buckwheat,Annual,Forb/herb
ERHO6,Eriogonum hookeri,Hooker's buckwheat,Annual,Forb/herb
ERPA11,Eriogonum palmerianum,Palmer's buckwheat,Annual,Forb/herb
ERSC4,Eriogonum scabrellum,Westwater buckwheat,Annual,Forb/herb
ERWE,Eriogonum wetherillii,Wetherill's buckwheat,Annual,Forb/herb
ERRE4,Erysimum repandum,spreading wallflower,Annual,Forb/herb
EUSY,Euclidium syriacum,Syrian mustard,Annual,Forb/herb
EUDA5,Euphorbia davidii,David's spurge,Annual,Forb/herb
EUDE4,Euphorbia dentata,toothed spurge,Annual,Forb/herb
EUDED,Euphorbia dentata var. dentata,toothed spurge,Annual,Forb/herb
EUHE5,Euphorbia hexagona,sixangle spurge,Annual,Forb/herb
EUMA8,Euphorbia marginata,snow on the mountain,Annual,Forb/herb
EUNE2,Euphorbia nephradenia,Paria spurge,Annual,Forb/herb
EUPE6,Euphorbia peplus,petty spurge,Annual,Forb/herb
EVPR,Evax prolifera,bighead pygmycudweed,Annual,Forb/herb
FAES2,Fagopyrum esculentum,buckwheat,Annual,Forb/herb
FLCA,Flaveria campestris,alkali yellowtops,Annual,Forb/herb
FLPR,Floerkea proserpinacoides,false mermaidweed,Annual,Forb/herb
FRFL,Froelichia floridana,plains snakecotton,Annual,Forb/herb
FRFLC,Froelichia floridana var. campestris,plains snakecotton,Annual,Forb/herb
FRGR3,Froelichia gracilis,slender snakecotton,Annual,Forb/herb
GABI3,Galeopsis bifida,splitlip hempnettle,Annual,Forb/herb
GAPA2,Galinsoga parviflora,gallant soldier,Annual,Forb/herb
GAQU,Galinsoga quadriradiata,shaggy soldier,Annual,Forb/herb
GAAP2,Galium aparine,stickywilly,Annual,"Vine, Forb/herb"
GABI,Galium bifolium,twinleaf bedstraw,Annual,Forb/herb
GADE2,Gayophytum decipiens,deceptive groundsmoke,Annual,Forb/herb
GADI2,Gayophytum diffusum,spreading groundsmoke,Annual,Forb/herb
GADIP,Gayophytum diffusum ssp. parviflorum,spreading groundsmoke,Annual,Forb/herb
GARA,Gayophytum racemosum,blackfoot groundsmoke,Annual,Forb/herb
GARA2,Gayophytum ramosissimum,pinyon groundsmoke,Annual,Forb/herb
GETE4,Gentianella tenella,Dane's dwarf gentian,Annual,Forb/herb
GETET,Gentianella tenella ssp. tenella,Dane's dwarf gentian,Annual,Forb/herb
GETO,Gentianella tortuosa,Cathedral Bluff dwarf gentian,Annual,Forb/herb
GETH,Gentianopsis thermalis,Rocky Mountain fringed gentian,Annual,Forb/herb
GECO,Geranium columbinum,longstalk cranesbill,Annual,Forb/herb
GICL2,Gilia clokeyi,Clokey's gilia,Annual,Forb/herb
GIIN2,Gilia inconspicua,shy gilia,Annual,Forb/herb
GIOP,Gilia ophthalmoides,eyed gilia,Annual,Forb/herb
GISI,Gilia sinuata,rosy gilia,Annual,Forb/herb
GITW,Gilia tweedyi,Tweedy's gila,Annual,Forb/herb
GLCO3,Glaucium corniculatum,blackspot hornpoppy,Annual,Forb/herb
GLCO6,Glebionis coronarium,crowndaisy,Annual,Forb/herb
GNEX,Gnaphalium exilifolium,slender cudweed,Annual,Forb/herb
GNPA,Gnaphalium palustre,western marsh cudweed,Annual,Forb/herb
GNUL,Gnaphalium uliginosum,marsh cudweed,Annual,Forb/herb
GRNE,Gratiola neglecta,clammy hedgehyssop,Annual,Forb/herb
GYPA2,Gymnosteris parvula,smallflower gymnosteris,Annual,Forb/herb
HAGL,Halogeton glomeratus,saltlover,Annual,Forb/herb
HEHI,Hedeoma hispida,rough false pennyroyal,Annual,Forb/herb
HEMI,Helenium microcephalum,smallhead sneezeweed,Annual,Forb/herb
HEMIM,Helenium microcephalum var. microcephalum,smallhead sneezeweed,Annual,Forb/herb
HEAN3,Helianthus annuus,common sunflower,Annual,Forb/herb
HEPE,Helianthus petiolaris,prairie sunflower,Annual,Forb/herb
HEPEF,Helianthus petiolaris ssp. fallax,prairie sunflower,Annual,Forb/herb
HEPEP,Helianthus petiolaris ssp. petiolaris,prairie sunflower,Annual,Forb/herb
HECO5,Heliotropium convolvulaceum,phlox heliotrope,Annual,Forb/herb
HECOC,Heliotropium convolvulaceum var. californicum,phlox heliotrope,Annual,Forb/herb
HECOC7,Heliotropium convolvulaceum var. convolvulaceum,phlox heliotrope,Annual,Forb/herb
HELI2,Heteranthera limosa,blue mudplantain,Annual,Forb/herb
HERO5,Heteranthera rotundifolia,roundleaf mudplantain,Annual,Forb/herb
HERA3,Heterocodon rariflorum,rareflower heterocodon,Annual,Forb/herb
HEPI2,Heterosperma pinnatum,wingpetal,Annual,Forb/herb
HESU3,Heterotheca subaxillaris,camphorweed,Annual,Forb/herb
HITR,Hibiscus trionum,flower of an hour,Annual,Forb/herb
HOUM,Holosteum umbellatum,jagged chickweed,Annual,Forb/herb
HOMU,Hordeum murinum,mouse barley,Annual,Graminoid
HOMUG,Hordeum murinum ssp. glaucum,smooth barley,Annual,Graminoid
HOMUM,Hordeum murinum ssp. murinum,wall barley,Annual,Graminoid
HOPU,Hordeum pusillum,little barley,Annual,Graminoid
HOVU,Hordeum vulgare,common barley,Annual,Graminoid
HOPR4,Hornungia procumbens,prostrate hutchinsia,Annual,Forb/herb
HYOD,Hymenoxys odorata,bitter rubberweed,Annual,Forb/herb
HYMA2,Hypericum majus,large St. Johnswort,Annual,Forb/herb
IBAM,Iberis amara,annual candytuft,Annual,Forb/herb
IMCA,Impatiens capensis,jewelweed,Annual,Forb/herb
IPPU2,Ipomoea purpurea,tall morning-glory,Annual,"Vine, Forb/herb"
IPGU,Ipomopsis gunnisonii,sanddune ipomopsis,Annual,Forb/herb
IPPO2,Ipomopsis polycladon,manybranched ipomopsis,Annual,Forb/herb
IPPU4,Ipomopsis pumila,dwarf ipomopsis,Annual,Forb/herb
IVAN2,Iva annua,annual marsh elder,Annual,Forb/herb
IVANA,Iva annua var. annua,annual marsh elder,Annual,Forb/herb
JUAM3,Juncus ambiguus,seasice rush,Annual,Graminoid
JUBR5,Juncus bryoides,moss rush,Annual,Graminoid
JUBU,Juncus bufonius,toad rush,Annual,Graminoid
JUBUB,Juncus bufonius var. bufonius,toad rush,Annual,Graminoid
JUBUO,Juncus bufonius var. occidentalis,toad rush,Annual,Graminoid
KAPA,Kallstroemia parviflora,warty caltrop,Annual,Forb/herb
KOIS,Koenigia islandica,island purslane,Annual,Forb/herb
LACO13,Laennecia coulteri,Coulter's horseweed,Annual,Forb/herb
LASC3,Laennecia schiedeana,pineland horseweed,Annual,Forb/herb
LAPU2,Lamium purpureum,purple deadnettle,Annual,Forb/herb
LAPUP,Lamium purpureum var. purpureum,purple deadnettle,Annual,Forb/herb
LAMA9,Lappula marginata,margined stickseed,Annual,Forb/herb
LACO3,Lapsana communis,common nipplewort,Annual,Forb/herb
LERAB2,Lepidium ramosissimum var. bourgeauanum,Bourgeau's pepperweed,Annual,Forb/herb
LESA2,Lepidium sativum,gardencress pepperweed,Annual,Forb/herb
LEST2,Lepidium strictum,upright pepperweed,Annual,Forb/herb
LEFUF,Leptochloa fusca ssp. fascicularis,bearded sprangletop,Annual,Graminoid
LESE17,Leptosiphon septentrionalis,northern linanthus,Annual,Forb/herb
LEMA8,Leucanthemum maximum,max chrysanthemum,Annual,Forb/herb
LIAR3,Linum aristatum,bristle flax,Annual,Forb/herb
LIAU4,Linum australe,southern flax,Annual,Forb/herb
LIAUA,Linum australe var. australe,southern flax,Annual,Forb/herb
LICO3,Linum compactum,Wyoming flax,Annual,Forb/herb
LIGR4,Linum grandiflorum,flowering flax,Annual,Forb/herb
LIPR,Linum pratense,meadow flax,Annual,Forb/herb
LIPU4,Linum puberulum,plains flax,Annual,Forb/herb
LIUS,Linum usitatissimum,common flax,Annual,Forb/herb
LIAR6,Lipocarpha aristulata,awned halfchaff sedge,Annual,Graminoid
